gender,age,skin_type,wrinkle,recommendation
female,13-19,normal,mild_wrinkle,"✨ Your skin shows only mild wrinkles — great job maintaining it!
🌞 Daily habits:
  - Use a gentle cleanser morning and night.
  - Apply lightweight moisturizer with SPF 30+ daily.
  - Get enough sleep and stay hydrated.
💡 Tip: Introduce hyaluronic acid or niacinamide for early prevention."
female,13-19,normal,moderate_wrinkle,"🧴 Your skin shows moderate wrinkles — time to be proactive!
🌿 Preventative routine:
  - Use a hydrating or anti-aging cleanser.
  - Apply retinol (or bakuchiol for sensitive skin) 2–3x/week.
  - Use vitamin C serum in the morning, and SPF 50+ daily.
💧 Moisturize well, especially at night. Avoid harsh exfoliants.
🍓 Eat antioxidant-rich foods and reduce sugar intake."
female,13-19,normal,severe_wrinkle,"🩺 Your skin shows severe wrinkles — it’s time for serious care.
📋 Dermatologist-recommended steps:
  - Consider prescription retinoids or peptides.
  - Use ceramide-rich moisturizers and avoid stripping cleansers.
  - Apply SPF 50+ every morning, rain or shine.
🔍 Suggested ingredients:
  - Retinol, peptides, niacinamide, hyaluronic acid.
  - Avoid alcohol-based toners or products with fragrance.
🍽 Lifestyle changes:
  - Get 7–9 hours of sleep.
  - Drink at least 2L of water per day.
  - Minimize stress and avoid smoking.
🧘 Consider consulting a dermatologist for personalized treatment."
female,13-19,dry,mild_wrinkle,"✨ Your skin shows only mild wrinkles — great job maintaining it!
🌞 Daily habits:
  - Use a gentle cleanser morning and night.
  - Apply lightweight moisturizer with SPF 30+ daily.
  - Get enough sleep and stay hydrated.
💡 Tip: Introduce hyaluronic acid or niacinamide for early prevention."
female,13-19,dry,moderate_wrinkle,"🧴 Your skin shows moderate wrinkles — time to be proactive!
🌿 Preventative routine:
  - Use a hydrating or anti-aging cleanser.
  - Apply retinol (or bakuchiol for sensitive skin) 2–3x/week.
  - Use vitamin C serum in the morning, and SPF 50+ daily.
💧 Moisturize well, especially at night. Avoid harsh exfoliants.
🍓 Eat antioxidant-rich foods and reduce sugar intake."
female,13-19,dry,severe_wrinkle,"🩺 Your skin shows severe wrinkles — it’s time for serious care.
📋 Dermatologist-recommended steps:
  - Consider prescription retinoids or peptides.
  - Use ceramide-rich moisturizers and avoid stripping cleansers.
  - Apply SPF 50+ every morning, rain or shine.
🔍 Suggested ingredients:
  - Retinol, peptides, niacinamide, hyaluronic acid.
  - Avoid alcohol-based toners or products with fragrance.
🍽 Lifestyle changes:
  - Get 7–9 hours of sleep.
  - Drink at least 2L of water per day.
  - Minimize stress and avoid smoking.
🧘 Consider consulting a dermatologist for personalized treatment."
female,13-19,oily,mild_wrinkle,"✨ Your skin shows only mild wrinkles — great job maintaining it!
🌞 Daily habits:
  - Use a gentle cleanser morning and night.
  - Apply lightweight moisturizer with SPF 30+ daily.
  - Get enough sleep and stay hydrated.
💡 Tip: Introduce hyaluronic acid or niacinamide for early prevention."
female,13-19,oily,moderate_wrinkle,"🧴 Your skin shows moderate wrinkles — time to be proactive!
🌿 Preventative routine:
  - Use a hydrating or anti-aging cleanser.
  - Apply retinol (or bakuchiol for sensitive skin) 2–3x/week.
  - Use vitamin C serum in the morning, and SPF 50+ daily.
💧 Moisturize well, especially at night. Avoid harsh exfoliants.
🍓 Eat antioxidant-rich foods and reduce sugar intake."
female,13-19,oily,severe_wrinkle,"🩺 Your skin shows severe wrinkles — it’s time for serious care.
📋 Dermatologist-recommended steps:
  - Consider prescription retinoids or peptides.
  - Use ceramide-rich moisturizers and avoid stripping cleansers.
  - Apply SPF 50+ every morning, rain or shine.
🔍 Suggested ingredients:
  - Retinol, peptides, niacinamide, hyaluronic acid.
  - Avoid alcohol-based toners or products with fragrance.
🍽 Lifestyle changes:
  - Get 7–9 hours of sleep.
  - Drink at least 2L of water per day.
  - Minimize stress and avoid smoking.
🧘 Consider consulting a dermatologist for personalized treatment."
female,13-19,combination,mild_wrinkle,"✨ Your skin shows only mild wrinkles — great job maintaining it!
🌞 Daily habits:
  - Use a gentle cleanser morning and night.
  - Apply lightweight moisturizer with SPF 30+ daily.
  - Get enough sleep and stay hydrated.
💡 Tip: Introduce hyaluronic acid or niacinamide for early prevention."
